name,assignment,direct_idf1,direct_hota,direct_assa,density_idf1,density_hota,density_assa,density_dropped_rows,p005_idf1,p005_hota,p005_assa,p005_dropped_rows,p005_config_name,delta_p005_idf1,delta_direct_idf1
combo_top3_siglip1_weak3_weak1,local_runs/continued_no_anchor_local_gated_subpart_20260624/combo_assignments/combo_top3_siglip1_weak3_weak1_assignments.csv,0.666778,0.527787,0.53789,0.668868,0.529473,0.539658,35029,0.668974,0.529557,0.539785,45467,p005_area,0.000207,0.000206
combo_top2_siglip1_weak3,local_runs/continued_no_anchor_local_gated_subpart_20260624/combo_assignments/combo_top2_siglip1_weak3_assignments.csv,0.666735,0.527721,0.537812,0.668825,0.529408,0.539582,35029,0.66893,0.529492,0.539709,45467,p005_area,0.000163,0.000163
