seq,dinov2,siglip,weakmetric,dinov2_pct,siglip_pct,weakmetric_pct,ensemble_pct,video,camera,start_frame,end_frame,n_dets,avg_conf
5550,0.640779972076416,0.7799001336097717,0.713170051574707,0.8561643835616438,1.0,0.9452054794520548,0.9337899543378997,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,12123,12233,100,0.657173
2987,0.6416453123092651,0.7445992231369019,0.7349585294723511,0.863013698630137,0.9726027397260274,0.958904109589041,0.9315068493150686,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,20612,20888,257,0.78763
3801,0.7390711307525635,0.7404699325561523,0.6279187202453613,0.9931506849315068,0.952054794520548,0.773972602739726,0.906392694063927,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,37495,37794,300,0.791714
3448,0.6602767705917358,0.7498086094856262,0.6414899826049805,0.9315068493150684,0.9794520547945206,0.7945205479452054,0.9018264840182648,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,35464,35760,291,0.655908
4254,0.685549795627594,0.6939932107925415,0.6387221813201904,0.9657534246575342,0.8972602739726028,0.7876712328767124,0.8835616438356165,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,40508,40807,273,0.661774
3393,0.6493098735809326,0.6927807927131653,0.670231282711029,0.8767123287671232,0.8904109589041096,0.863013698630137,0.8767123287671232,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,35164,35463,270,0.680106
3841,0.6531168222427368,0.7352640628814697,0.6226736307144165,0.8972602739726028,0.9452054794520548,0.7534246575342466,0.865296803652968,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,37795,38094,300,0.702283
4077,0.6033523082733154,0.767021119594574,0.6712404489517212,0.7328767123287672,0.9863013698630136,0.8698630136986302,0.863013698630137,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,39595,39894,286,0.722717
5188,0.6001266241073608,0.6994756460189819,0.7159715890884399,0.7123287671232876,0.910958904109589,0.952054794520548,0.858447488584475,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,47160,47248,89,0.784469
5406,0.5766221284866333,0.7426974177360535,0.762239396572113,0.6095890410958904,0.958904109589041,1.0,0.8561643835616438,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,11347,11646,300,0.883154
5451,0.5527068972587585,0.7698590755462646,0.744074821472168,0.5136986301369864,0.9931506849315068,0.9657534246575342,0.8242009132420091,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,11647,11946,300,0.894797
4159,0.7107158303260803,0.74449622631073,0.5631282329559326,0.9863013698630136,0.9657534246575342,0.5136986301369864,0.8219178082191781,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,40106,40400,227,0.641336
3925,0.5920245051383972,0.7109679579734802,0.6770263910293579,0.6643835616438356,0.9178082191780822,0.8835616438356164,0.8219178082191781,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,38395,38694,300,0.749005
2841,0.6831238865852356,0.6741114854812622,0.5904372930526733,0.958904109589041,0.8013698630136986,0.6506849315068494,0.8036529680365296,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,18498,18621,124,0.820922
3107,0.6662192344665527,0.6181665658950806,0.6428048610687256,0.9383561643835616,0.6438356164383562,0.8013698630136986,0.7945205479452054,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,32287,32586,290,0.828722
2801,0.5895748138427734,0.6788088083267212,0.6782984137535095,0.6575342465753424,0.821917808219178,0.8904109589041096,0.7899543378995434,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,18198,18497,274,0.855863
4958,0.5469976663589478,0.7114438414573669,0.689769983291626,0.4931506849315068,0.9246575342465754,0.9246575342465754,0.7808219178082192,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,44650,44882,196,0.420059
3736,0.6597965955734253,0.6782702207565308,0.5748071670532227,0.9178082191780822,0.815068493150685,0.589041095890411,0.7739726027397261,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,37056,37238,159,0.821271
860,0.7039585113525391,0.6810598969459534,0.5602855086326599,0.9794520547945206,0.8424657534246576,0.4863013698630137,0.769406392694064,vlincs_MS01_MC0001_MCAM03_2024-03-Tc6,MCAM03,21530,21614,85,0.789994
4700,0.564436674118042,0.6522520780563354,0.6865237355232239,0.5616438356164384,0.773972602739726,0.910958904109589,0.7488584474885845,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,42981,43280,296,0.676152
4223,0.7564978003501892,0.6922791600227356,0.5139541029930115,1.0,0.8835616438356164,0.3424657534246575,0.7420091324200913,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,40390,40465,76,0.73032
4838,0.6600952744483948,0.5643362402915955,0.6791595220565796,0.9246575342465754,0.3767123287671233,0.8972602739726028,0.7328767123287672,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,43875,44174,297,0.761201
835,0.6003996729850769,0.6654041409492493,0.5995277166366577,0.7191780821917808,0.7945205479452054,0.684931506849315,0.7328767123287672,vlincs_MS01_MC0001_MCAM03_2024-03-Tc6,MCAM03,20930,21229,300,0.907788
3627,0.5832744836807251,0.7292017936706543,0.5705899000167847,0.6301369863013698,0.9383561643835616,0.5684931506849316,0.7123287671232875,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,36456,36755,297,0.807705
4794,0.5713093280792236,0.6267763376235962,0.6675130724906921,0.6027397260273972,0.684931506849315,0.8493150684931506,0.7123287671232875,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,43635,43757,123,0.799641
820,0.6314927339553833,0.6218821406364441,0.5841314792633057,0.8356164383561644,0.6643835616438356,0.6301369863013698,0.7100456621004566,vlincs_MS01_MC0001_MCAM03_2024-03-Tc6,MCAM03,20330,20629,300,0.902238
826,0.5589162707328796,0.6759569644927979,0.6136503219604492,0.547945205479452,0.8082191780821918,0.726027397260274,0.6940639269406393,vlincs_MS01_MC0001_MCAM03_2024-03-Tc6,MCAM03,20630,20929,300,0.893968
5069,0.65852952003479,0.6800711154937744,0.5065991878509521,0.910958904109589,0.8287671232876712,0.3287671232876712,0.6894977168949771,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,45506,45628,123,0.535393
3165,0.5547388792037964,0.6175387501716614,0.688532829284668,0.5205479452054794,0.6232876712328768,0.9178082191780822,0.6872146118721462,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,32887,33186,300,0.9122
6836,0.5949429273605347,0.5628265738487244,0.7480133771896362,0.684931506849315,0.363013698630137,0.9863013698630136,0.6780821917808219,vlincs_MS01_MC0001_MCAM05_2024-03-Tc8,MCAM05,20352,20651,300,0.874711
